publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,2,1,1,1,4,3.6721250003262123
1,2,1,1,1,5,3.6721250003262123
1,2,1,1,1,6,3.6721250003262123
1,2,1,1,1,7,3.6721250003262123
1,2,1,1,1,8,3.6721250003262123
1,2,1,1,1,9,3.6721250003262123
1,2,1,1,1,10,3.6721250003262123
1,2,1,1,2,1,3.5649879580275767
1,2,1,1,2,2,3.5649879580275767
1,2,1,1,2,3,3.5649879580275767
1,2,1,1,2,4,3.5649879580275767
1,2,1,1,2,5,3.5649879580275767
1,2,1,1,2,6,3.5649879580275767
1,2,1,1,2,7,3.5649879580275767
1,2,1,1,2,8,3.5649879580275767
1,2,1,1,2,9,3.5649879580275767
1,2,1,1,2,10,3.5649879580275767
1,2,1,0,0,1,1.7203909437850233
1,2,1,0,0,2,1.7203909437850233
1,2,1,0,0,3,1.7203909437850233
1,2,1,0,0,4,1.7203909437850233
1,2,1,0,0,5,1.7203909437850233
1,2,1,0,0,6,1.7203909437850233
1,2,1,0,0,7,1.7203909437850233
1,2,1,0,0,8,1.7203909437850233
1,2,1,0,0,9,1.7203909437850233
1,2,1,0,0,10,1.7203909437850233
1,2,1,0,1,1,3.6721250003262123
1,2,1,0,1,2,3.6721250003262123
1,2,1,0,1,3,3.6721250003262123
1,2,1,0,1,4,3.6721250003262123
1,2,1,0,1,5,3.6721250003262123
1,2,1,0,1,6,3.6721250003262123
1,2,1,0,1,7,3.6721250003262123
1,2,1,0,1,8,3.6721250003262123
1,2,1,0,1,9,3.6721250003262123
1,2,1,0,1,10,3.6721250003262123
1,2,1,0,2,1,3.5649879580275767
1,2,1,0,2,2,3.5649879580275767
1,2,1,0,2,3,3.5649879580275767
1,2,1,0,2,4,3.5649879580275767
1,2,1,0,2,5,3.5649879580275767
1,2,1,0,2,6,3.5649879580275767
1,2,1,0,2,7,3.5649879580275767
1,2,1,0,2,8,3.5649879580275767
1,2,1,0,2,9,3.5649879580275767
1,2,1,0,2,10,3.5649879580275767
1,2,2,1,0,1,4.729914786610566
1,2,2,1,0,2,4.729914786610566
1,2,2,1,0,3,4.729914786610566
1,2,2,1,0,4,4.729914786610566
1,2,2,1,0,5,4.729914786610566
1,2,2,1,0,6,4.729914786610566
1,2,2,1,0,7,4.729914786610566
1,2,2,1,0,8,4.729914786610566
1,2,2,1,0,9,4.729914786610566
1,2,2,1,0,10,4.729914786610566
1,2,2,1,1,1,7.538083908217375
1,2,2,1,1,2,7.538083908217375
1,2,2,1,1,3,7.538083908217375
1,2,2,1,1,4,7.538083908217375
1,2,2,1,1,5,7.538083908217375
1,2,2,1,1,6,7.538083908217375
1,2,2,1,1,7,7.538083908217375
1,2,2,1,1,8,7.538083908217375
1,2,2,1,1,9,7.538083908217375
1,2,2,1,1,10,7.538083908217375
1,2,2,1,2,1,7.316566930525741
1,2,2,1,2,2,7.316566930525741
1,2,2,1,2,3,7.316566930525741
1,2,2,1,2,4,7.316566930525741
1,2,2,1,2,5,7.316566930525741
1,2,2,1,2,6,7.316566930525741
1,2,2,1,2,7,7.316566930525741
1,2,2,1,2,8,7.316566930525741
1,2,2,1,2,9,7.316566930525741
1,2,2,1,2,10,7.316566930525741
1,2,2,0,0,1,4.729914786610566
1,2,2,0,0,2,4.729914786610566
