publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,2,4,0,2,1,3.899831569855321
1,2,4,0,2,2,3.899831569855321
1,2,4,0,2,3,3.899831569855321
1,2,4,0,2,4,3.899831569855321
1,2,4,0,2,5,3.899831569855321
1,2,4,0,2,6,3.899831569855321
1,2,4,0,2,7,3.899831569855321
1,2,4,0,2,8,3.899831569855321
1,2,4,0,2,9,3.899831569855321
1,2,4,0,2,10,3.899831569855321
1,2,8,1,0,1,3.5048067372057887
1,2,8,1,0,2,3.5048067372057887
1,2,8,1,0,3,3.5048067372057887
1,2,8,1,0,4,3.5048067372057887
1,2,8,1,0,5,3.5048067372057887
1,2,8,1,0,6,3.5048067372057887
1,2,8,1,0,7,3.5048067372057887
1,2,8,1,0,8,3.5048067372057887
1,2,8,1,0,9,3.5048067372057887
1,2,8,1,0,10,3.5048067372057887
1,2,8,1,1,1,3.82385661844094
1,2,8,1,1,2,3.82385661844094
1,2,8,1,1,3,3.82385661844094
1,2,8,1,1,4,3.82385661844094
1,2,8,1,1,5,3.82385661844094
1,2,8,1,1,6,3.82385661844094
1,2,8,1,1,7,3.82385661844094
1,2,8,1,1,8,3.82385661844094
1,2,8,1,1,9,3.82385661844094
1,2,8,1,1,10,3.82385661844094
1,2,8,1,2,1,3.899831569855321
1,2,8,1,2,2,3.899831569855321
1,2,8,1,2,3,3.899831569855321
1,2,8,1,2,4,3.899831569855321
1,2,8,1,2,5,3.899831569855321
1,2,8,1,2,6,3.899831569855321
1,2,8,1,2,7,3.899831569855321
1,2,8,1,2,8,3.899831569855321
1,2,8,1,2,9,3.899831569855321
1,2,8,1,2,10,3.899831569855321
1,2,8,0,0,1,3.5048067372057887
1,2,8,0,0,2,3.5048067372057887
1,2,8,0,0,3,3.5048067372057887
1,2,8,0,0,4,3.5048067372057887
1,2,8,0,0,5,3.5048067372057887
1,2,8,0,0,6,3.5048067372057887
1,2,8,0,0,7,3.5048067372057887
1,2,8,0,0,8,3.5048067372057887
1,2,8,0,0,9,3.5048067372057887
