simulation_number,publisher_number,subscriber_number,message_size,retain,qos,topics,ram_usage,database_size
0,1,32,4096,false,1,1,1073615,15462.4
0,1,32,4096,true,1,8,1229902,129638.4
0,1,32,16384,false,2,8,1313370,430694.4
0,1,32,16384,false,0,1,1129935,18124.8
0,1,32,8192,false,1,1,1073306,28262.4
0,1,32,1024,false,0,8,1055684,10956.8
0,1,32,1024,false,2,1,1052450,3993.6
0,1,32,4096,false,1,4,1089741,68300.8
0,1,32,16384,false,0,4,1181927,67584.0
0,1,32,2048,true,1,4,1088506,41369.6
0,1,32,16384,true,0,4,1164152,68300.8
0,1,32,8192,true,0,4,1096403,35020.8
0,1,32,1024,true,0,4,1047423,5939.2
0,1,32,2048,false,0,4,1067730,10240.0
0,1,32,2048,true,2,4,1095284,37683.2
0,1,32,4096,true,0,4,1063745,19148.8
0,1,32,4096,false,2,4,1123752,68198.4
0,1,32,1024,false,1,1,1061799,4608.0
0,1,32,8192,false,0,8,1103967,69017.6
0,1,32,8192,false,2,1,1081104,20889.6
0,1,32,4096,true,0,1,1100735,6553.6
0,1,32,4096,false,0,8,1075050,31232.0
0,1,32,4096,false,2,1,1083688,11468.8
0,1,32,16384,false,1,8,1262762,415129.6
0,1,32,4096,true,2,8,1131910,117145.6
0,1,32,1024,false,1,4,1079606,23654.4
0,1,32,8192,false,2,4,1117042,128000.0
0,1,32,16384,true,0,1,1147830,17510.4
0,1,32,8192,true,0,1,1093165,10342.4
0,1,32,8192,true,2,8,1177756,232857.6
0,1,32,16384,true,2,8,1338694,408678.4
0,1,32,1024,true,0,1,1086036,2867.2
0,1,32,2048,false,2,8,1086592,66764.8
0,1,32,2048,true,0,8,1060293,19456.0
0,1,32,1024,true,2,8,1071920,38809.6
0,1,32,2048,false,0,1,1093948,3891.2
0,1,32,2048,true,2,1,1062373,8089.6
0,4,1,4096,true,0,4,1080940,67686.4
0,4,1,4096,false,2,1,1054564,38297.6
0,4,1,4096,false,0,8,1164253,131072.0
0,4,1,8192,true,0,4,1134791,133427.2
0,4,1,2048,false,2,8,1151029,69632.0
0,4,1,1024,false,2,1,1036581,9523.2
0,4,1,2048,false,0,1,1038063,8806.4
0,4,1,1024,false,0,8,1092292,36864.0
0,4,1,16384,true,2,4,1400609,264192.0
0,4,1,16384,false,2,1,1122872,132403.2
0,4,1,8192,false,2,1,1122595,33382.4
0,4,1,1024,true,2,8,1149270,35942.4
0,4,1,1024,true,0,1,1023984,4710.4
0,4,1,8192,false,0,8,1285880,265932.8
0,4,1,16384,false,0,8,1571720,528691.2
0,4,1,2048,true,1,8,1170481,212377.6
0,4,1,16384,true,0,8,1562832,528486.4
0,4,1,1024,false,2,4,1074966,17408.0
0,4,1,2048,false,0,4,1068432,34816.0
0,4,1,16384,true,2,1,1150521,132403.2
0,4,1,16384,false,2,4,1486678,826368.0
0,4,1,8192,false,2,4,1250048,408371.2
0,4,1,1024,true,0,4,1057357,18534.4
0,4,1,4096,true,0,1,1038552,16998.4
0,4,1,4096,true,2,8,1334011,431820.8
0,4,1,4096,false,2,4,1116928,67584.0
0,4,1,8192,true,2,8,1338968,249651.2
0,4,1,8192,true,0,1,1059864,33280.0
0,4,1,8192,true,1,8,1296216,266137.6
0,4,1,4096,false,1,4,1146580,211865.6
0,4,1,4096,true,1,8,1271182,406835.2
0,4,1,2048,true,0,4,1059720,34918.4
0,4,1,16384,false,1,4,1440578,826368.0
0,4,1,8192,false,1,4,1159287,133017.6
0,4,1,16384,true,1,1,1110686,66150.4
0,4,1,1024,false,1,4,1142879,56012.8
0,4,1,2048,true,2,8,1152995,67276.8
0,4,1,2048,true,0,1,1035017,8908.8
0,4,1,16384,false,1,1,1121022,66048.0
0,4,1,1024,true,1,8,1145889,36864.0
0,4,1,8192,false,1,1,1058024,33280.0
0,4,1,16384,true,1,4,1320922,264192.0
0,4,1,1024,false,1,1,1029396,10649.6
0,4,1,2048,false,1,8,1211412,218828.8
0,4,1,4096,false,1,1,1056256,16998.4
0,4,1,8192,true,1,1,1079066,33280.0
0,4,1,4096,true,1,1,1039513,16793.6
0,4,1,2048,true,2,4,1112034,34816.0
0,4,1,1024,true,1,4,1107033,58265.6
0,4,1,16384,true,1,8,1867486,1572864.0
0,4,1,2048,false,1,4,1068816,34816.0
0,4,1,2048,true,2,1,1043399,8704.0
0,4,1,2048,true,0,8,1109142,69836.8
0,4,1,16384,false,1,8,1561737,528281.6
0,4,1,8192,false,1,8,1456052,833024.0
