publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,1,16,0,1,3,5.589801136154099
1,1,16,0,1,4,5.589801136154099
1,1,16,0,1,5,5.589801136154099
1,1,16,0,1,6,5.589801136154099
1,1,16,0,1,7,5.589801136154099
1,1,16,0,1,8,5.589801136154099
1,1,16,0,1,9,5.589801136154099
1,1,16,0,1,10,5.589801136154099
1,1,16,0,2,1,6.139333427168821
1,1,16,0,2,2,6.139333427168821
1,1,16,0,2,3,6.139333427168821
1,1,16,0,2,4,6.139333427168821
1,1,16,0,2,5,6.139333427168821
1,1,16,0,2,6,6.139333427168821
1,1,16,0,2,7,6.139333427168821
1,1,16,0,2,8,6.139333427168821
1,1,16,0,2,9,6.139333427168821
1,1,16,0,2,10,6.139333427168821
1,2,1,1,0,1,2.7233247875965385
1,2,1,1,0,2,2.7233247875965385
1,2,1,1,0,3,2.7233247875965385
1,2,1,1,0,4,2.7233247875965385
1,2,1,1,0,5,2.7233247875965385
1,2,1,1,0,6,2.7233247875965385
1,2,1,1,0,7,2.7233247875965385
1,2,1,1,0,8,2.7233247875965385
1,2,1,1,0,9,2.7233247875965385
1,2,1,1,0,10,2.7233247875965385
1,2,1,1,1,1,3.036522953975458
1,2,1,1,1,2,3.036522953975458
1,2,1,1,1,3,3.036522953975458
1,2,1,1,1,4,3.036522953975458
1,2,1,1,1,5,3.036522953975458
1,2,1,1,1,6,3.036522953975458
1,2,1,1,1,7,3.036522953975458
1,2,1,1,1,8,3.036522953975458
1,2,1,1,1,9,3.036522953975458
1,2,1,1,1,10,3.036522953975458
1,2,1,1,2,1,3.681803745933542
1,2,1,1,2,2,3.681803745933542
1,2,1,1,2,3,3.681803745933542
1,2,1,1,2,4,3.681803745933542
1,2,1,1,2,5,3.681803745933542
1,2,1,1,2,6,3.681803745933542
1,2,1,1,2,7,3.681803745933542
1,2,1,1,2,8,3.681803745933542
1,2,1,1,2,9,3.681803745933542
1,2,1,1,2,10,3.681803745933542
1,2,1,0,0,1,2.7233247875965385
1,2,1,0,0,2,2.7233247875965385
1,2,1,0,0,3,2.7233247875965385
1,2,1,0,0,4,2.7233247875965385
1,2,1,0,0,5,2.7233247875965385
1,2,1,0,0,6,2.7233247875965385
1,2,1,0,0,7,2.7233247875965385
1,2,1,0,0,8,2.7233247875965385
